,ETFC,HAS,HOG,LM,UHS,CSCO,ALL,TXN,DFS,NEE,PSA,PH,PVH,AMT,MNST,A,ZTS,MSI,AXP,OMC,URBN,MDLZ,MCD,GILD,EQR,URI,TMO,RRC,CELG,AKAM
URBN,0.31467824434008634,0.18260859700383808,0.4002756253529592,0.31255618258276135,0.1291063647995259,0.31043415634963584,0.12333005336028251,0.21647766952822223,0.3494668042179657,-0.5041928986638411,-0.3968505152466477,0.4005136066182267,0.5660882855314359,-0.5161757861413863,-0.017602087179744194,0.2433851366836635,-0.0059030438931945975,-0.030763820890715946,0.26369833731561315,0.2874963345243015,1.0,-0.2053784976821435,-0.3755094713624314,0.11615908708041675,-0.4157292249652389,0.388479340727595,0.08838373762215407,0.27949194619686546,0.04554599701512098,0.18797653715800638
MDLZ,0.09839611901590849,-0.047135838795150445,-0.05105139113383946,0.10980475866247513,0.012222155126551249,0.1672043370276231,0.13790036434572295,0.22623263775976807,0.0492579285416322,0.11972963423243946,0.030295351693408464,0.02399205801187997,-0.06745388676605088,0.25217872096626515,0.20620802131649707,0.18519828160127794,0.2411306676537792,0.1744508515271963,0.015848710429978995,0.06198161468054478,-0.2053784976821435,1.0,0.23556587154425704,0.08126445594466634,0.08639261391661848,0.026951620967877243,0.23952773414897463,-0.15714006131061517,0.06543714182239896,0.3115875638477235
MCD,0.0016223617408538777,0.03320909307350566,-0.20729456536742366,-0.042486180942993806,-0.2501123663385793,0.009947597172171172,0.0166564620134079,0.09879405364956043,-0.053223117611693224,0.08606493991920885,0.1036254315909861,-0.1717495862233348,-0.27625492797370715,0.26199567022783343,0.06952540929242526,-0.004712178112915378,-0.0018146940327809654,0.08788794155150152,-0.07221523615537687,-0.14055921694676843,-0.3755094713624314,0.23556587154425704,1.0,0.010828863018449741,0.10735012913536296,-0.11382724990898813,0.062047141503328435,-0.36314261563616124,-0.03505957572627782,0.04303249923799736
GILD,0.3989599083470951,0.17123234359882772,0.2695822193345449,0.4173257680861638,0.21914032185225385,0.4336035107114324,0.22523918528279152,0.4338505425237874,0.40797075013683953,-0.4592016189012089,-0.2861664584529714,0.380524617253198,0.2534442145873404,-0.2150185649467284,-0.011298848178027874,0.516926127796324,0.4515845631113499,0.17059106171648086,0.36680741454314597,0.34862427822365455,0.11615908708041675,0.08126445594466634,0.010828863018449741,1.0,-0.20121749720933874,0.42512116848349296,0.5362050918443926,0.1429009916902783,0.6979945472457209,0.378418088337255
EQR,-0.4661281876400487,-0.3296155626961202,-0.47248811047540584,-0.42863989101719907,-0.2879968272293615,-0.3852112631769827,-0.3610005634839832,-0.3638421335893881,-0.5075046223677059,0.5999092904302422,0.7759081507294482,-0.5240345903019479,-0.4798351203634578,0.6219699445151198,-0.07470688881705663,-0.2817395785628897,-0.1919845908318359,-0.2791184307256342,-0.48700472524120675,-0.4683294915053605,-0.4157292249652389,0.08639261391661848,0.10735012913536296,-0.20121749720933874,1.0,-0.4224925771913359,-0.16765420803238792,-0.3718714820695223,-0.07330400148774177,-0.09463064151245316
URI,0.7369817014790138,0.3331602820355401,0.6062854888088811,0.7590708688092581,0.29337112096740126,0.6159183912518892,0.501267780359381,0.6783443835336512,0.8090388599231363,-0.6990928311780482,-0.5370781544072775,0.8806510277229802,0.6048774817476541,-0.34161584233933173,-0.03674622713535923,0.6247563730431632,0.30345270782290984,0.30622713440438865,0.6780381340160266,0.5355383734782263,0.388479340727595,0.026951620967877243,-0.11382724990898813,0.42512116848349296,-0.4224925771913359,1.0,0.4976536353427575,0.5523578700110745,0.2700420655135955,0.39129783159218345
TMO,0.5782888190508538,0.18106093484638072,0.34307111340808566,0.5085811584839193,0.42169053529344885,0.5796307470848451,0.4038859012513553,0.5570377281967448,0.5328217762126881,-0.4455185840570389,-0.3678699792326267,0.5480773770203317,0.33373126680294984,-0.12636336721759708,0.0707468852451223,0.8978421494546648,0.63406354880947,0.3557423525521852,0.5394334374630301,0.32704230527005546,0.08838373762215407,0.23952773414897463,0.062047141503328435,0.5362050918443926,-0.16765420803238792,0.4976536353427575,1.0,0.10927932808606741,0.4673314416948056,0.4331582440005275
RRC,0.37338859210703484,0.10497063042688357,0.413469172319047,0.44289702971465705,0.2730578270560598,0.30928629093341053,0.21251431381651018,0.2865267625195021,0.37482237592429096,-0.47580292891355186,-0.44840914905727,0.5815264973313826,0.5013466789966817,-0.27612259419574486,-0.15961529796970722,0.23788383694883808,0.07219672223805192,-0.0989638051947995,0.2942149622740992,0.1975980601220016,0.27949194619686546,-0.15714006131061517,-0.36314261563616124,0.1429009916902783,-0.3718714820695223,0.5523578700110745,0.10927932808606741,1.0,0.09029421880524266,0.10251740034174979
CELG,0.3140740710660793,0.03382893360412684,0.1654708886626447,0.3190979886303559,0.28766061589365566,0.25812793720936406,0.13712166080373292,0.2750895909373943,0.2781751803655035,-0.2981677583558651,-0.16082828278624836,0.23232806544483103,0.12679801974539698,-0.09997601536067525,-0.12611240681376915,0.40980063130919087,0.4276760164224879,0.08574245505234368,0.27508246800460256,0.22778840466701664,0.04554599701512098,0.06543714182239896,-0.03505957572627782,0.6979945472457209,-0.07330400148774177,0.2700420655135955,0.4673314416948056,0.09029421880524266,1.0,0.264600812590922
AKAM,0.3760742710418985,0.18971379741399932,0.2640334251887215,0.41950372160907773,0.22060691577963712,0.4979198638797571,0.2746512254212664,0.47116646607796386,0.39720569694646796,-0.34044866524277484,-0.26731140202518494,0.3961670106102149,0.2750785409903704,-0.07902046398511312,0.0012050879409023715,0.4625432254343778,0.34781888944532363,0.3012681660398718,0.37080871939090043,0.343342639839838,0.18797653715800638,0.3115875638477235,0.04303249923799736,0.378418088337255,-0.09463064151245316,0.39129783159218345,0.4331582440005275,0.10251740034174979,0.264600812590922,1.0
