,CCU,PBY,MWD,BK,XLNX,KR,BAX,MEL,GAS,DOV,ADM,LDG,OI,GT,WAG,PBI,ED,ORCL,PKI,STI,AFL,XOM,TIN,AA,FITB,DIS,CCL,AT,CTX,CCK
AFL,0.10821206573079066,0.11020645875112846,0.2841582354000062,0.4982326822710842,0.13780548592709224,-0.00010411511362054399,-0.05938186116221369,0.4830058472016489,-0.025916457291567184,0.18839555748842804,0.047228077724242284,0.014671072401625289,-0.12915809191631733,0.15793006098540754,0.007272054185391877,0.0025174537183839923,-0.04334187591085002,0.12618326616881942,0.12361688172977527,0.5138058608431209,1.0,-0.0425568508155241,0.19309451231506403,0.16055932623996075,0.5400141668279229,0.1251668559604445,0.2630489451659585,0.07854873917993488,0.24731671994615043,0.014901932828572696
XOM,-0.009099609879064614,0.21721014729117216,-0.03938280365394034,-0.0057780496473677865,-0.0047158238992650765,-0.016644938209592088,0.016144183587573312,-0.00844377594223121,0.25148785952319147,0.03381722589256466,-0.2787455064222373,-0.03910014319397381,0.07844233081970112,0.07298032799603908,-0.14759932418307578,-0.10330416177585708,0.19694657390643022,-0.18625586633893257,-0.09356827020998175,-0.09603736971327564,-0.0425568508155241,1.0,0.1555233103442244,0.26932389879715835,-0.12883154883894246,0.0524757221991036,0.019985173188537195,-0.06304439527536995,0.04016068069570486,0.11174460394659907
TIN,0.5020887718486293,0.2936226315448229,0.4547108087589913,0.4975999425708884,0.36207266453038645,-0.02104634373492517,-0.16436690163452436,0.4757727319656028,-0.0027559166994138105,0.6234049125341845,-0.035406217089198194,0.1950212070468363,0.35887170402685725,0.5621345734781645,0.08098715941779493,0.40274922674273506,-0.1608881714469363,0.23970129967316445,0.2421075126109139,0.4546404352466513,0.19309451231506403,0.1555233103442244,1.0,0.7658382093022361,0.2759015443941024,0.4248306532885476,0.526161878131533,0.2694766569015062,0.5124962912141479,0.412918833828245
AA,0.537307648520953,0.30669633337886637,0.5007866586100014,0.47994832326492615,0.4047150472253631,-0.011633657707534984,-0.10841910849776022,0.479392913161183,0.06961684199225422,0.5825840609112006,0.007978469760703434,0.0828942508165481,0.2217631692038386,0.4721596060896797,0.0025768417878591623,0.3709477444545509,-0.18577491791844208,0.3468262733479983,0.28339946267120986,0.4164823135494695,0.16055932623996075,0.26932389879715835,0.7658382093022361,1.0,0.26345052208638214,0.5038549738906762,0.43410111195645845,0.3515094705228398,0.4379592991566696,0.2852205917198093
FITB,0.3105029331071897,0.11909510218340923,0.6171616201279863,0.7802999723383304,0.37406781657102645,0.027878453177946103,-0.1492759263770055,0.8097109897950571,-0.08739478041838997,0.4007244806612411,0.10233116222554649,0.053076572564979205,-0.03458430901765771,0.31397229005798327,0.041095379202438685,0.1965878401285911,-0.2395049815382651,0.40404892030684825,0.18587994009772668,0.8600309241047671,0.5400141668279229,-0.12883154883894246,0.2759015443941024,0.26345052208638214,1.0,0.3105765443241961,0.30931309989726696,0.1680187631889428,0.40255079556030077,0.09806586802663181
DIS,0.7144440157031282,0.2993398707888809,0.6731681465746697,0.3902132630713241,0.6168632817374043,-0.1757986553333336,-0.24004078562830666,0.43532335114190124,0.08352129730719823,0.6891482573248693,-0.10325721471040418,-0.014540869952967543,0.09836014996612201,0.3282244575588432,-0.04467510565996473,0.42846461904245736,-0.40243723898327827,0.5635827127489091,0.41653930449454646,0.3219583560710063,0.1251668559604445,0.0524757221991036,0.4248306532885476,0.5038549738906762,0.3105765443241961,1.0,0.6002327789910161,0.5445473440772481,0.4054408643693879,0.17270016329156598
CCL,0.4552540175367493,0.34246673537188504,0.4468859412088006,0.3815693847356649,0.311102549088514,-0.10658331987329342,-0.16378420293502252,0.37635983661276634,0.009565172305152456,0.5096231586911405,-0.011462552431708541,0.1118903653543828,0.1229599625809852,0.2632160807016747,0.08491046500186104,0.3265659827468033,-0.25631358087185135,0.2713014730787648,0.26313556321424963,0.3564985070186669,0.2630489451659585,0.019985173188537195,0.526161878131533,0.43410111195645845,0.30931309989726696,0.6002327789910161,1.0,0.3018457028092669,0.40070269683740267,0.10829086454792157
AT,0.5692208601058859,0.15750893041410488,0.5907843038392173,0.2994653262911346,0.5869930622499071,-0.1665704680908538,-0.30186310331447924,0.366430571094535,0.07155875144889275,0.5284792535586799,-0.13398119112106757,-0.07564643790209293,0.09326735883342364,0.2535399438304996,-0.1495109012810869,0.36411659665327495,-0.3846962770796353,0.5830081247433687,0.33619676770975926,0.25067606483596183,0.07854873917993488,-0.06304439527536995,0.2694766569015062,0.3515094705228398,0.1680187631889428,0.5445473440772481,0.3018457028092669,1.0,0.2870285638194673,0.14349008296423596
CTX,0.4129598014297822,0.2243430450172592,0.5446965372877567,0.500729531844562,0.41508874709459753,-0.10161521413152323,-0.2525645819095126,0.49801691140320387,0.11088026958876653,0.5308368697976386,-0.00209363165298503,0.16051436572477243,0.09530320826266718,0.34036181754543876,-0.007501515403438938,0.3346233938273208,-0.21661136212875834,0.35881067771771236,0.2996346513917991,0.5152405036945972,0.24731671994615043,0.04016068069570486,0.5124962912141479,0.4379592991566696,0.40255079556030077,0.4054408643693879,0.40070269683740267,0.2870285638194673,1.0,0.19229172227633323
CCK,0.30808724597053033,0.0615784810906482,0.16033835207538522,0.255636336515189,0.1833226226827587,0.028654751302525438,-0.1568510632804838,0.20246407830081178,0.0634198470546954,0.23534954321351031,-0.14412978364170365,0.11668401292525621,0.4298342048847606,0.23339822915505795,0.04438554526314458,0.29088739261959584,-0.049586016568830334,0.1555513769954527,0.14717463109290063,0.1717865290662624,0.014901932828572696,0.11174460394659907,0.412918833828245,0.2852205917198093,0.09806586802663181,0.17270016329156598,0.10829086454792157,0.14349008296423596,0.19229172227633323,1.0
